,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,平均趋向指数,平均趋向指数的趋向指数,阿隆指标down,阿隆指标up,顺势指标,钱德动量摆动指标,动向指标或趋向指标,资金流量指标,下升动向值,上升动向值 DMI,上升动向值,价格震荡百分比指数,变动率指标,相对强弱指数,终极波动指标,威廉指标,累积/派发线,震荡指标,能量潮,真实波动幅度均值,归一化波动幅度均值,真正的范围,加权收盘价,希尔伯特变换-主导周期,两只乌鸦,三只乌鸦,三内部上涨和下跌,三线打击,三外部上涨和下跌,南方三星,三个白兵,弃婴,大敌当前,捉腰带线,脱离,收盘缺影线,藏婴吞没,反击线,乌云压顶,十字,十字星,蜻蜓十字/T形十字,吞噬模式,十字暮星,暮星,向上/下跳空并列阳线,墓碑十字/倒T十字,锤头,上吊线,母子线,十字孕线,风高浪大线,陷阱,修正陷阱,家鸽,三胞胎乌鸦,颈内线,倒锤头,反冲形态,由较长缺影线决定的反冲形态,梯底,长脚十字,长蜡烛,光头光脚/缺影线,相同低价,铺垫,十字晨星,晨星,颈上线,刺透形态,黄包车夫,上升/下降三法,分离线,射击之星,短蜡烛,纺锤,停顿形态,条形三明治,探水竿,跳空并列阴阳线,插入,三星,奇特三河床,向上跳空的两只乌鸦,上升/下降跳空三法,elapsed,aroon_up_dates,aloon_shift-1,days_in_position
3203,600833.SH,20090105,5.23,5.36,5.18,5.35,5.14,0.21,4.09,15312.15,8095.051,,,,,,,,,,,,,,,,,13610.79999999989,,15312.15,,,,5.31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3202,600833.SH,20090106,5.34,5.63,5.3,5.6,5.35,0.25,4.67,29086.71,16022.9,,,,,,,,,,,,,,,,,37409.01727272712,,44398.86,,,0.33,5.5325,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3201,600833.SH,20090107,5.52,5.78,5.52,5.6,5.6,0.0,0.0,26789.76,15103.564,,,,,,,,,,,,,,,,,27105.263426573245,,44398.86,,,0.2600000000000007,5.625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3200,600833.SH,20090108,5.5,5.61,5.36,5.41,5.6,-0.19,-3.39,21752.79,11909.656,,,,,,,,,,,,,,,,,14053.589426573211,,22646.07,,,0.25,5.4475,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3199,600833.SH,20090109,5.47,5.68,5.44,5.63,5.41,0.22,4.07,24666.86,13787.874,,,,,,,,,,,,,,,,,28442.591093239887,,47312.93,,,0.2699999999999996,5.595000000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3198,600833.SH,20090112,5.63,5.88,5.63,5.73,5.63,0.1,1.78,33805.88,19430.749,,,,,,,,,,,,,,,,,21681.41509324003,,81118.81,,,0.25,5.7425,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3197,600833.SH,20090113,5.67,5.79,5.52,5.54,5.73,-0.19,-3.32,20627.0,11626.718,,,,,,,,,,,,,,,,,4110.266945091949,,60491.81,,,0.2700000000000004,5.5975,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3196,600833.SH,20090114,5.5,5.72,5.48,5.71,5.54,0.17,3.07,19730.76,11130.117,,,,,,,,,,,,,,,,,22196.796945091977,,80222.56999999999,,,0.2399999999999993,5.654999999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3195,600833.SH,20090115,5.7,5.8,5.63,5.74,5.71,0.03,0.53,29215.86,16742.682,,,,,,,,,,,,,,,,,30789.696945092102,,109438.43,,,0.1699999999999999,5.7275,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3194,600833.SH,20090116,5.74,5.9,5.68,5.74,5.74,0.0,0.0,27158.65,15748.952,,,,,,,,,,,,,,,,,18444.85603600127,1102.8543959316376,109438.43,,,0.2200000000000006,5.765000000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
