,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,阿隆指标down,阿隆指标up,顺势指标
3203,600833.SH,20090105,5.23,5.36,5.18,5.35,5.14,0.21,4.09,15312.15,8095.051,1.0,1.0,1.0
3202,600833.SH,20090106,5.34,5.63,5.3,5.6,5.35,0.25,4.67,29086.71,16022.9,1.0,1.0,1.0
3201,600833.SH,20090107,5.52,5.78,5.52,5.6,5.6,0.0,0.0,26789.76,15103.564,1.0,1.0,1.0
3200,600833.SH,20090108,5.5,5.61,5.36,5.41,5.6,-0.19,-3.39,21752.79,11909.656,1.0,1.0,1.0
3199,600833.SH,20090109,5.47,5.68,5.44,5.63,5.41,0.22,4.07,24666.86,13787.874,1.0,1.0,1.0
3198,600833.SH,20090112,5.63,5.88,5.63,5.73,5.63,0.1,1.78,33805.88,19430.749,1.0,1.0,1.0
3197,600833.SH,20090113,5.67,5.79,5.52,5.54,5.73,-0.19,-3.32,20627.0,11626.718,1.0,1.0,1.0
3196,600833.SH,20090114,5.5,5.72,5.48,5.71,5.54,0.17,3.07,19730.76,11130.117,1.0,1.0,1.0
3195,600833.SH,20090115,5.7,5.8,5.63,5.74,5.71,0.03,0.53,29215.86,16742.682,1.0,1.0,1.0
3194,600833.SH,20090116,5.74,5.9,5.68,5.74,5.74,0.0,0.0,27158.65,15748.952,1.0,1.0,1.0
3193,600833.SH,20090119,5.76,5.8,5.66,5.75,5.74,0.01,0.17,19991.91,11421.757,1.0,1.0,1.0
3192,600833.SH,20090120,5.75,5.83,5.68,5.83,5.75,0.08,1.39,22104.88,12756.45,1.0,1.0,94.54545454545465
3191,600833.SH,20090121,5.77,6.15,5.75,6.13,5.83,0.3,5.15,71901.71,42926.304,1.0,1.0,195.98997493734328
3190,600833.SH,20090122,6.26,6.29,5.95,6.08,6.13,-0.05,-0.82,89775.7,55196.613,1.0,1.0,198.8148148148144
3189,600833.SH,20090123,6.03,6.08,5.86,5.94,6.08,-0.14,-2.3,33734.79,20002.857,1.0,1.0,96.49595687331527
3188,600833.SH,20090202,5.95,6.05,5.87,6.03,5.94,0.09,1.52,20479.29,12184.887,1.0,1.0,84.9405548216647
3187,600833.SH,20090203,5.99,6.07,5.89,6.06,6.03,0.03,0.5,57104.63,34250.828,1.0,1.0,76.92307692307658
3186,600833.SH,20090204,6.08,6.28,6.02,6.27,6.06,0.21,3.47,67433.83,41409.931,0.0,76.47058823529412,125.85147962032383
3185,600833.SH,20090205,6.22,6.26,6.0,6.04,6.27,-0.23,-3.67,49443.13,30208.509,0.0,70.58823529411765,78.10089020771518
3184,600833.SH,20090206,6.05,6.26,6.05,6.25,6.04,0.21,3.48,55993.19,34570.422,5.882352941176471,64.70588235294119,106.23556581986125
3183,600833.SH,20090209,6.27,6.44,6.1,6.43,6.25,0.18,2.88,77093.38,48570.106,0.0,100.0,147.50742819412346
3182,600833.SH,20090210,6.34,6.55,6.24,6.53,6.43,0.1,1.56,59473.3,37906.91,0.0,100.0,158.88294711824153
3181,600833.SH,20090211,6.48,7.0,6.38,6.93,6.53,0.4,6.13,101265.17,67428.216,11.764705882352942,100.0,216.57296504522117
3180,600833.SH,20090212,6.95,7.61,6.74,7.39,6.93,0.46,6.64,169822.01,121168.811,5.882352941176471,100.0,231.96013289036537
3179,600833.SH,20090213,7.29,7.43,7.05,7.39,7.39,0.0,0.0,104131.35,75732.204,0.0,94.11764705882354,163.88749372174777
3178,600833.SH,20090216,7.39,7.41,7.18,7.28,7.39,-0.11,-1.49,62954.96,45753.162,0.0,88.23529411764707,121.11620158267397
3177,600833.SH,20090217,7.26,7.26,6.8,6.83,7.28,-0.45,-6.18,67150.14,47052.191,5.882352941176471,82.3529411764706,58.22398535245666
3176,600833.SH,20090218,6.72,6.96,6.66,6.71,6.83,-0.12,-1.76,38689.54,26327.981,0.0,76.47058823529412,22.746125300153015
